Tooth,Jaw,Missing,Present,Total,Missing_%,Present_%
11,upper,472,1328,1800,26.222222222222225,73.77777777777777
12,upper,485,1315,1800,26.944444444444443,73.05555555555556
13,upper,544,1256,1800,30.22222222222222,69.77777777777779
14,upper,477,1323,1800,26.5,73.5
15,upper,489,1311,1800,27.166666666666668,72.83333333333334
16,upper,498,1302,1800,27.666666666666668,72.33333333333334
17,upper,684,1116,1800,38.0,62.0
18,upper,1717,83,1800,95.38888888888889,4.611111111111111
21,upper,485,1315,1800,26.944444444444443,73.05555555555556
22,upper,458,1342,1800,25.444444444444443,74.55555555555556
23,upper,562,1238,1800,31.222222222222225,68.77777777777779
24,upper,482,1318,1800,26.77777777777778,73.22222222222223
25,upper,491,1309,1800,27.27777777777778,72.72222222222223
26,upper,471,1329,1800,26.166666666666664,73.83333333333333
27,upper,665,1135,1800,36.94444444444444,63.05555555555556
28,upper,1728,72,1800,96.0,4.0
31,lower,456,1344,1800,25.333333333333336,74.66666666666667
32,lower,455,1345,1800,25.27777777777778,74.72222222222223
33,lower,508,1292,1800,28.22222222222222,71.77777777777777
34,lower,476,1324,1800,26.444444444444443,73.55555555555556
35,lower,502,1298,1800,27.88888888888889,72.11111111111111
36,lower,471,1329,1800,26.166666666666664,73.83333333333333
37,lower,596,1204,1800,33.111111111111114,66.88888888888889
38,lower,1710,90,1800,95.0,5.0
41,lower,466,1334,1800,25.88888888888889,74.11111111111111
42,lower,445,1355,1800,24.72222222222222,75.27777777777777
43,lower,467,1333,1800,25.944444444444443,74.05555555555556
44,lower,445,1355,1800,24.72222222222222,75.27777777777777
45,lower,473,1327,1800,26.27777777777778,73.72222222222223
46,lower,495,1305,1800,27.500000000000004,72.5
47,lower,564,1236,1800,31.333333333333336,68.66666666666667
48,lower,1712,88,1800,95.11111111111111,4.888888888888889
