Tooth,Jaw,Missing,Present,Total,Missing_%,Present_%
11,upper,494,1306,1800,27.444444444444443,72.55555555555556
12,upper,493,1307,1800,27.38888888888889,72.61111111111111
13,upper,539,1261,1800,29.944444444444446,70.05555555555556
14,upper,488,1312,1800,27.111111111111114,72.88888888888889
15,upper,482,1318,1800,26.77777777777778,73.22222222222223
16,upper,476,1324,1800,26.444444444444443,73.55555555555556
17,upper,677,1123,1800,37.611111111111114,62.38888888888889
18,upper,1719,81,1800,95.5,4.5
21,upper,460,1340,1800,25.555555555555554,74.44444444444444
22,upper,454,1346,1800,25.222222222222225,74.77777777777777
23,upper,537,1263,1800,29.833333333333336,70.16666666666667
24,upper,496,1304,1800,27.555555555555557,72.44444444444444
25,upper,497,1303,1800,27.611111111111107,72.38888888888889
26,upper,456,1344,1800,25.333333333333336,74.66666666666667
27,upper,660,1140,1800,36.666666666666664,63.33333333333333
28,upper,1727,73,1800,95.94444444444444,4.055555555555555
31,lower,465,1335,1800,25.833333333333336,74.16666666666667
32,lower,453,1347,1800,25.166666666666664,74.83333333333333
33,lower,461,1339,1800,25.61111111111111,74.3888888888889
34,lower,486,1314,1800,27.0,73.0
35,lower,481,1319,1800,26.722222222222225,73.27777777777777
36,lower,483,1317,1800,26.833333333333332,73.16666666666667
37,lower,565,1235,1800,31.38888888888889,68.61111111111111
38,lower,1708,92,1800,94.88888888888889,5.111111111111112
41,lower,489,1311,1800,27.166666666666668,72.83333333333334
42,lower,468,1332,1800,26.0,74.0
43,lower,455,1345,1800,25.27777777777778,74.72222222222223
44,lower,454,1346,1800,25.222222222222225,74.77777777777777
45,lower,478,1322,1800,26.555555555555554,73.44444444444444
46,lower,492,1308,1800,27.333333333333332,72.66666666666667
47,lower,584,1216,1800,32.44444444444444,67.55555555555556
48,lower,1712,88,1800,95.11111111111111,4.888888888888889
