ToothID,Jaw,Present_Count,Absent_Count,Total_Samples,Presence_Rate
11,upper,899,1,900,99.89%
12,upper,888,12,900,98.67%
13,upper,834,66,900,92.67%
14,upper,879,21,900,97.67%
15,upper,881,19,900,97.89%
16,upper,890,10,900,98.89%
17,upper,624,276,900,69.33%
18,upper,42,858,900,4.67%
21,upper,899,1,900,99.89%
22,upper,897,3,900,99.67%
23,upper,844,56,900,93.78%
24,upper,889,11,900,98.78%
25,upper,870,30,900,96.67%
26,upper,890,10,900,98.89%
27,upper,639,261,900,71.00%
28,upper,37,863,900,4.11%
31,lower,897,3,900,99.67%
32,lower,900,0,900,100.00%
33,lower,883,17,900,98.11%
34,lower,881,19,900,97.89%
35,lower,878,22,900,97.56%
36,lower,882,18,900,98.00%
37,lower,681,219,900,75.67%
38,lower,46,854,900,5.11%
41,lower,898,2,900,99.78%
42,lower,898,2,900,99.78%
43,lower,886,14,900,98.44%
44,lower,891,9,900,99.00%
45,lower,870,30,900,96.67%
46,lower,881,19,900,97.89%
47,lower,681,219,900,75.67%
48,lower,45,855,900,5.00%
